item, time, matrix, first_img, second_img, third_img, fourth_img, fifth_img, code
1, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME1T05
2, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME1T01
3, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME1T02
4, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER07
5, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, ME1T03
6, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME1T04
7, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, MER02
8, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER04
9, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, MER16
10, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME1T06
11, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME1T07
12, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER09
13, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, MER03
14, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER05
15, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER08
16, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER14
17, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, MER01
18, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER10
19, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, MER22
20, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER11
21, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER21
22, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME1T08
23, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, MER19
24, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME1T10
25, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, MER06
26, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME1T11
27, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER13
28, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME1T09
29, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER15
30, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME2T13
31, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, MER24
32, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, MER17
33, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER25
34, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME3T29
35, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, MER12
36, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME3T32
37, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME2T21
38, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER28
39, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME1T12
40, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME2T19
41, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER23
42, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER26
43, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME2T24
44, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER30
45, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME3T28
46, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, MER27
47, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, MER29
48, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME3T36
49, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME3T31
50, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME2T18
51, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME3T30
52, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME3T33
53, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, ME2T22
54, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, correct.png, distractor4.png, ME3T34
55, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME2T17
56, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, ME2T20
57, 15000, matrix.png, distractor1.png, distractor2.png, correct.png, distractor3.png, distractor4.png, ME2T16
58, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, MER18
59, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME2T14
60, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, ME3T35
61, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME2T15
62, 15000, matrix.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, correct.png, MER20
63, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, ME3T27
64, 15000, matrix.png, distractor1.png, correct.png, distractor2.png, distractor3.png, distractor4.png, ME3T25
65, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME2T23
66, 15000, matrix.png, correct.png, distractor1.png, distractor2.png, distractor3.png, distractor4.png, ME3T26
